#NOM?;ISIN CODE;Q1 2010;Q1 2011;Q1 2012;Q1 2013;Q1 2014;Q1 2015;Q1 2016;Q1 2017;Q1 2018;Q1 2019;Q1 2020;Q1 2021;Q1 2022;Q1 2023;Q1 2024
AMAZON.COM - EARNINGS PER SHARE-REPRT DT-Q1;US0231351067;22.04.10;26.04.11;26.04.12;25.04.13;24.04.14;23.04.15;29.04.16;27.04.17;26.04.18;25.04.19;30.04.20;29.04.21;28.04.22;27.04.23;30.04.24
ABBOTT LABORATORIES - EARNINGS PER SHARE-REPRT DT-Q1;US0028241000;21.04.10;20.04.11;18.04.12;17.04.13;16.04.14;22.04.15;20.04.16;19.04.17;18.04.18;17.04.19;16.04.20;20.04.21;20.04.22;19.04.23;17.04.24
AES CORP - EARNINGS PER SHARE-REPRT DT-Q1;US00130H1059;07.05.10;09.05.11;04.05.12;25.04.13;08.05.14;11.05.15;09.05.16;08.05.17;08.05.18;07.05.19;07.05.20;06.05.21;05.05.22;04.05.23;02.05.24
INT'L BUSINESS MACHS - EARNINGS PER SHARE-REPRT DT-Q1;US4592001014;19.04.10;19.04.11;17.04.12;18.04.13;16.04.14;20.04.15;18.04.16;18.04.17;17.04.18;16.04.19;20.04.20;19.04.21;19.04.22;19.04.23;24.04.24
ADVANCED MICRO - EARNINGS PER SHARE-REPRT DT-Q1;US0079031078;14.04.10;21.04.11;19.04.12;18.04.13;17.04.14;16.04.15;28.04.16;01.05.17;25.04.18;30.04.19;28.04.20;27.04.21;03.05.22;02.05.23;30.04.24
ADOBE (NAS) - EARNINGS PER SHARE-REPRT DT-Q1;US00724F1012;23.03.10;22.03.11;19.03.12;19.03.13;18.03.14;17.03.15;17.03.16;16.03.17;15.03.18;14.03.19;12.03.20;23.03.21;22.03.22;15.03.23;14.03.24
ALEXANDRIA REAL ESTATE EQUITIES REIT - EARNINGS PER SHARE-REPRT DT-Q1;US0152711091;30.04.10;04.05.11;01.05.12;29.04.13;05.05.14;27.04.15;04.05.16;01.05.17;30.04.18;30.04.19;27.04.20;26.04.21;25.04.22;24.04.23;22.04.24
AIR PRDS.& CHEMS. - EARNINGS PER SHARE-REPRT DT-Q1;US0091581068;22.04.10;21.04.11;24.04.12;23.04.13;23.04.14;30.04.15;28.04.16;27.04.17;26.04.18;24.04.19;23.04.20;10.05.21;05.05.22;09.05.23;30.04.24
BXP INC - EARNINGS PER SHARE-REPRT DT-Q1;US1011211018;27.04.10;02.05.11;02.05.12;30.04.13;29.04.14;27.04.15;26.04.16;25.04.17;24.04.18;30.04.19;28.04.20;27.04.21;02.05.22;25.04.23;30.04.24
ALLSTATE CORP - EARNINGS PER SHARE-REPRT DT-Q1;US0200021014;28.04.10;27.04.11;02.05.12;01.05.13;06.05.14;05.05.15;04.05.16;02.05.17;01.05.18;01.05.19;05.05.20;05.05.21;04.05.22;03.05.23;01.05.24
HONEYWELL INTERNATNL - EARNINGS PER SHARE-REPRT DT-Q1;US4385161066;23.04.10;20.04.11;20.04.12;19.04.13;17.04.14;17.04.15;22.04.16;21.04.17;20.04.18;18.04.19;01.05.20;23.04.21;29.04.22;27.04.23;25.04.24
AMGEN INC - EARNINGS PER SHARE-REPRT DT-Q1;US0311621009;21.04.10;20.04.11;24.04.12;23.04.13;22.04.14;21.04.15;02.05.16;26.04.17;24.04.18;30.04.19;30.04.20;27.04.21;27.04.22;27.04.23;02.05.24
AMERICAN EXPRESS CO - EARNINGS PER SHARE-REPRT DT-Q1;US0258161092;22.04.10;20.04.11;18.04.12;17.04.13;16.04.14;16.04.15;20.04.16;19.04.17;18.04.18;18.04.19;24.04.20;23.04.21;22.04.22;20.04.23;05.04.24
AMERICAN ELECTRIC - EARNINGS PER SHARE-REPRT DT-Q1;US0255371017;29.04.10;21.04.11;20.04.12;26.04.13;25.04.14;23.04.15;28.04.16;28.04.17;26.04.18;25.04.19;06.05.20;22.04.21;28.04.22;04.05.23;30.04.24
AFLAC INC - EARNINGS PER SHARE-REPRT DT-Q1;US0010551028;27.04.10;27.04.11;24.04.12;24.04.13;29.04.14;28.04.15;26.04.16;27.04.17;25.04.18;25.04.19;29.04.20;28.04.21;27.04.22;26.04.23;01.05.24
AMERICAN INT'L GROUP - EARNINGS PER SHARE-REPRT DT-Q1;US0268747849;07.05.10;05.05.11;03.05.12;02.05.13;05.05.14;30.04.15;02.05.16;04.05.17;02.05.18;06.05.19;04.05.20;06.05.21;03.05.22;05.05.23;01.05.24
ANALOG DEVICES, INC. - EARNINGS PER SHARE-REPRT DT-Q1;US0326541051;17.02.10;15.02.11;22.02.12;19.02.13;18.02.14;17.02.15;17.02.16;15.02.17;28.02.18;20.02.19;19.02.20;17.02.21;16.02.22;15.02.23;21.02.24
VALERO ENERGY CORP - EARNINGS PER SHARE-REPRT DT-Q1;US91913Y1001;27.04.10;26.04.11;01.05.12;30.04.13;29.04.14;28.04.15;05.05.16;25.04.17;26.04.18;25.04.19;29.04.20;22.04.21;26.04.22;27.04.23;25.04.24
COMCAST A - EARNINGS PER SHARE-REPRT DT-Q1;US20030N1019;28.04.10;03.05.11;02.05.12;01.05.13;22.04.14;04.05.15;27.04.16;27.04.17;25.04.18;25.04.19;30.04.20;29.04.21;28.04.22;27.04.23;25.04.24
