fold,train_start,train_end,test_start,test_end,test_year,train_size,test_size,model,r2,mae,rmse
1,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,6450,1331,baseline_mean,-0.0011104690143155516,0.07257577049550396,0.10612574177483416
1,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,6450,1331,ridge,-0.002984138698538752,0.07255981645042543,0.10622500736002365
1,2015-01-01,2019-12-31,2020-01-01,2020-12-31,2020,6450,1331,random_forest,0.05761357954341528,0.07180003254747355,0.10296609609633532
2,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,6502,1343,baseline_mean,-0.0042676808281914,0.05188212390218719,0.07278360591354056
2,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,6502,1343,ridge,0.00019263626358712038,0.052065304216716075,0.07262179685152759
2,2016-01-01,2020-12-31,2021-01-01,2021-12-31,2021,6502,1343,random_forest,0.008619415972301203,0.051562182922727455,0.072315106359281
3,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,6572,1350,baseline_mean,-0.01378844654859912,0.05358968881400931,0.07453820838936977
3,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,6572,1350,ridge,-0.025156245449525105,0.05353243493862121,0.07495494881427738
3,2017-01-01,2021-12-31,2022-01-01,2022-12-31,2022,6572,1350,random_forest,-0.1701415632696066,0.05637517533845933,0.08008007733016093
4,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,6633,1352,baseline_mean,-0.07949423205100925,0.05000374255563183,0.06596557360540029
4,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,6633,1352,ridge,-0.07810615192590653,0.0498032334042514,0.06592314866554301
4,2018-01-01,2022-12-31,2023-01-01,2023-12-31,2023,6633,1352,random_forest,-0.06537419904650221,0.04899155677812337,0.06553273108394449
5,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,6691,1357,baseline_mean,-0.00986669605344348,0.04805519126635218,0.0667862919114405
5,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,6691,1357,ridge,-0.03852295800162153,0.048574379873885985,0.0677272367956463
5,2019-01-01,2023-12-31,2024-01-01,2024-12-31,2024,6691,1357,random_forest,-0.04196515344105656,0.04851021955476211,0.0678393852681593
6,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,6733,307,baseline_mean,-0.05900933852713264,0.06664589661652671,0.08622695414926541
6,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,6733,307,ridge,-0.13055440816133035,0.06808606538540017,0.08909203611634825
6,2020-01-01,2024-12-31,2025-01-01,2025-12-31,2025,6733,307,random_forest,-0.22920738505315907,0.07203714595753488,0.09289786456374811
