company_name,isin_code,quarter,year,earnings_date,,capital_expenditures,cash,common_shareholders_equity,common_shares_outstanding,eps_int_surp_pdiff,eps_int_surp_value,funds_from_operations,ltg_mean_estimate,net_inc_before_extra_pfd_divs,net_sales_or_revenues,operating_income,tot_return_ind,total_assets,total_liabilities,turnover_by_volume,ticker
3M COMPANY,US88579Y1010,1,2010,2010-04-27,,,,,,,,,,4006000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2010,2010-07-22,,,,,,,,,,4006000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2010,2010-10-28,,,,,,,,,,4006000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2010,2011-01-25,,,,,,,,,,4006000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2011,2011-04-26,,,,,,,,,,4877000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2011,2011-07-26,,,,,,,,,,4877000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2011,2011-10-25,,,,,,,,,,4877000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2011,2012-01-26,,,,,,,,,,4877000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2012,2012-04-24,,,,,,,,,,4433000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2012,2012-07-26,,,,,,,,,,4433000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2012,2012-10-23,,,,,,,,,,4433000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2012,2013-01-24,,,,,,,,,,4433000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2013,2013-04-25,,,,,,,,,,5312000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2013,2013-07-25,,,,,,,,,,5312000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2013,2013-10-24,,,,,,,,,,5312000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2013,2014-01-30,,,,,,,,,,5312000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2014,2014-04-24,,,,,,,,,,5839000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2014,2014-07-24,,,,,,,,,,5839000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2014,2014-10-23,,,,,,,,,,5839000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2014,2015-01-27,,,,,,,,,,5839000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2015,2015-04-23,,,,,,,,,,5125000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2015,2015-07-23,,,,,,,,,,5125000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2015,2015-10-22,,,,,,,,,,5125000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2015,2016-01-26,,,,,,,,,,5125000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2016,2016-04-26,,,,,,,,,,5365000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2016,2016-07-26,,,,,,,,,,5365000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2016,2016-10-25,,,,,,,,,,5365000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2016,2017-01-24,,,,,,,,,,5365000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2017,2017-04-24,,,,,,,,,,5315000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2017,2017-07-25,,,,,,,,,,5315000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2017,2017-10-24,,,,,,,,,,5315000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2017,2018-01-25,,,,,,,,,,5315000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2018,2018-04-24,,,,,,,,,,6371000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2018,2018-07-24,,,,,,,,,,6371000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2018,2018-10-23,,,,,,,,,,6371000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2018,2019-01-29,,,,,,,,,,6371000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2019,2019-04-25,,,,,,,,,,6712000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2019,2019-07-25,,,,,,,,,,6712000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2019,2019-10-24,,,,,,,,,,6712000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2019,2020-01-28,,,,,,,,,,6712000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2020,2020-04-28,,,,,,,,,,3115000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2020,2020-07-28,,,,,,,,,,3115000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2020,2020-10-27,,,,,,,,,,3115000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2020,2021-01-26,,,,,,,,,,3115000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2021,2021-04-27,,,,,,,,,,8004000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2021,2021-07-27,,,,,,,,,,8004000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,3,2021,2021-10-26,,,,,,,,,,8004000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,4,2021,2022-01-25,,,,,,,,,,8004000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,1,2022,2022-04-26,,,,,,,,,,7457000.0,,,,,,,MMM
3M COMPANY,US88579Y1010,2,2022,2022-07-26,,,,,,,,,,7457000.0,,,,,,,MMM
