company_name,ticker,isin_code
3M COMPANY,MMM,US88579Y1010
ABBOTT LABORATORIES,ABT,US0028241000
ABBVIE INC,ABBV,US00287Y1091
ACCENTURE PLC,ACN,IE00B4BNMY34
ADOBE,ADBE,US00724F1012
ADVANCED MICRO DEVICES,AMD,US0079031078
AES CORP,AES,US00130H1059
AFLAC INC,AFL,US0010551028
AGILENT TECHNOLOGIES,A,US00846U1016
AIR PRODUCTS & CHEMICALS,APD,US0091581068
AIRBNB,ABNB,US0090661010
AKAMAI TECHNOLOGIES,AKAM,US00971T1016
AKAMAI TECHS.,AKAM,US00971T1016
ALBEMARLE CORP,ALB,US0126531013
ALEXANDRIA REAL ESTATE EQUITIES REIT,ARE,US0152711091
ALIGN TECHNOLOGY INC,ALGN,US0162551016
ALLEGION,ALLE,IE00BFRT3W74
ALLEGION PLC,ALLE,IE00BFRT3W74
ALLIANT ENERGY (XSC),LNT,US0188021085
ALLIANT ENERGY CORP,LNT,US0188021085
ALLSTATE CORP,ALL,US0200021014
ALLSTATE ORD SHS,ALL,US0200021014
ALPHABET,GOOGL,US02079K3059
ALPHABET,GOOGL,US02079K1079
ALPHABET 'A',GOOGL,US02079K3059
ALPHABET 'C',GOOG,US02079K1079
ALTRIA GROUP,MO,US02209S1033
AMAZON,AMZN,US0231351067
AMAZON.COM INC,AMZN,US0231351067
AMCOR,AMCR,JE00BJ1F3079
AMCOR PLC,AMCR,JE00BJ1F3079
AMER.ELEC.PWR.,AEP,US0255371017
AMEREN,AEE,US0236081024
AMEREN CORPORATION,AEE,US0236081024
AMERICAN ELECTRIC,AEP,US0255371017
AMERICAN EXPRESS,AXP,US0258161092
AMERICAN EXPRESS CO,AXP,US0258161092
AMERICAN INT'L GROUP,AIG,US0268747849
AMERICAN INTL.GP.,AIG,US0268747849
AMERICAN TOWER CORP,AMT,US03027X1000
AMERICAN WATER WORKS,AWK,US0304201033
AMERIPRISE FINL.,AMP,US03076C1062
AMETEK,AME,US0311001004
AMETEK INC,AME,US0311001004
AMGEN,AMGN,US0311621009
AMGEN INC,AMGN,US0311621009
AMPHENOL 'A',APH,US0320951017
AMPHENOL CORP,APH,US0320951017
ANALOG DEVICES,ADI,US0326541051
"ANALOG DEVICES, INC.",ADI,US0326541051
AON CLASS A,AON,IE00BLP1HW54
AON PLC,AON,IE00BLP1HW54
APA,APA,US03743Q1085
APA CORP (US),APA,US03743Q1085
APOLLO GLOB,APO,US03769M1062
APOLLO GLOBAL MANAGEMENT,APO,US03769M1062
APPLE,AAPL,US0378331005
APPLIED MATERIALS,AMAT,US0382221051
APPLIED MATS.,AMAT,US0382221051
APPLOVIN A,APP,US03831W1080
APTIV,APTV,JE00BTDN8H13
ARCH CAP.GP.,ACGL,BMG0450A1053
ARCHER DANIELS MIDL,ADM,US0394831020
ARCHER DANIELS MIDLAND,ADM,US0394831020
ARISTA NETWORKS,ANET,US0404132054
ARISTA NETWORKS INC,ANET,US0404132054
ARTHUR J GALLAGHER,AJG,US3635761097
ARTHUR J. GALLAGHE,AJG,US3635761097
ASSURANT,AIZ,US04621X1081
ASSURANT INC,AIZ,US04621X1081
AT&T,T,US00206R1023
AT&T INC,T,US00206R1023
ATMOS ENERGY,ATO,US0495601058
ATMOS ENERGY CORP,ATO,US0495601058
AUTODESK,ADSK,US0527691069
AUTOMATIC DATA PROC.,ADP,US0530151036
AUTOZONE,AZO,US0533321024
AVALONBAY COMMNS.,AVB,US0534841012
AVERY DENNISON,AVY,US0536111091
AVERY DENNISON CORP,AVY,US0536111091
AXON ENTERPRISE,AXON,US05464C1018
BAKER HUGHES A,BKR,US05722G1004
BAKER HUGHES CO,BKR,US05722G1004
BALL,BALL,US0584981064
BALL CORPORATION,BALL,US0584981064
BANK OF AMERICA CORP,BAC,US0605051046
BANK OF NEW YORK,BK,US0640581007
BANK OF NEW YORK MELLON,BK,US0640581007
BAXTER INTERNATIONAL,BAX,US0718131099
BAXTER INTL.,BAX,US0718131099
BECTON DICKINSON,BDX,US0758871091
"BECTON, DICKINSON",BDX,US0758871091
BERKSHIRE HATHAWAY,BRK.B,US0846707026
BERKSHIRE HATHAWAY 'B',BRK.B,US0846707026
BEST BUY,BBY,US0865161014
BEST BUY CO INC,BBY,US0865161014
BIO-TECHNE,TECH,US09073M1045
BIO-TECHNE CORP,TECH,US09073M1045
BIOGEN,BIIB,US09062X1037
BLACKROCK,BLK,US09290D1019
BLACKROCK INC,BLK,US09290D1019
BLACKSTONE,BX,US09260D1072
BLOCK A,SQ,US8522341036
BOEING,BA,US0970231058
BOOKING HOLDINGS,BKNG,US09857L1089
BOSTON SCIENTIFIC,BSX,US1011371077
BRISTO,BMY,US1101221083
BRISTOL MYERS SQUIBB,BMY,US1101221083
BROADCOM,AVGO,US11135F1012
BROADCOM INC,AVGO,US11135F1012
BROADRIDGE FINANCIAL,BR,US11133T1034
BROADRIDGE FINL.SLTN.,BR,US11133T1034
BROWN & BROWN,BRO,US1152361010
BROWN-FORMAN 'B',BF.B,US1156372096
BROWN-FORMAN CORP,BF.B,US1156372096
BUILDERS FIRSTSOURCE,BLDR,US12008R1077
BUNGE GLOBAL,BG,CH1300646267
BUNGE GLOBAL SA,BG,CH1300646267
BXP,BXP,US1011211018
BXP INC,BXP,US1011211018
CADENCE DESIGN SYS.,CDNS,US1273871087
CADENCE DESIGN SYST,CDNS,US1273871087
CAMDEN PROPERTY,CPT,US1331311027
CAMDEN PROPERTY TST.,CPT,US1331311027
CAMPBELL'S CO,CPB,US1344291091
CAPITAL ONE FIN'L,COF,US14040H1059
CAPITAL ONE FINL.,COF,US14040H1059
CARDINAL HEALTH,CAH,US14149Y1082
CARNIVAL,CCL,PA1436583006
CARRIER GLOBAL,CARR,US14448C1045
CATERPILLAR,CAT,US1491231015
CATERPILLAR INC,CAT,US1491231015
CBOE GLOBAL,CBOE,US12503M1080
CBOE GLOBAL MARKETS(BTS),CBOE,US12503M1080
CBRE GROUP,CBRE,US12504L1098
CBRE GROUP CLASS A,CBRE,US12504L1098
CDW,CDW,US12514G1085
CDW CORP,CDW,US12514G1085
CENCORA,COR,US03073E1055
CENCORA INC,COR,US03073E1055
CENTENE,CNC,US15135B1017
CENTENE CORP,CNC,US15135B1017
CENTERPOINT EN.,CNP,US15189T1079
CENTERPOINT ENERGY,CNP,US15189T1079
CF IND HLDGS INC,CF,US1252691001
CF INDUSTRIES HDG.,CF,US1252691001
CH ROBINSO,CHRW,US12541W2098
CH ROBINSON WWD.,CHRW,US12541W2098
CHARLES SCHWAB,SCHW,US8085131055
CHARLES SCHWAB CORP,SCHW,US8085131055
CHARTER COMMS.CL.A,CHTR,US16119P1084
CHARTER COMMU,CHTR,US16119P1084
CHAS.RVR.LABS.INTL.,CRL,US1598641074
CHEVRON,CVX,US1667641005
CHEVRON CORP,CVX,US1667641005
CHIPOTLE MEXN.GRILL,CMG,US1696561059
CHUBB,CB,CH0044328745
CHURCH & DWIGHT CO,CHD,US1713401024
CHURCH & DWIGHT CO.,CHD,US1713401024
CIGNA,CI,US1255231003
CIGNA GROUP,CI,US1255231003
CINCINNATI FINL CORP,CINF,US1720621010
CINCINNATI FINL.,CINF,US1720621010
CINTAS,CTAS,US1729081059
CINTAS CORP,CTAS,US1729081059
CISCO SYSTEMS,CSCO,US17275R1023
CITIGROUP,C,US1729674242
CITIGROUP INC,C,US1729674242
CITIZENS FINANCIAL GROUP,CFG,US1746101054
CLOROX,CLX,US1890541097
CME GROUP,CME,US12572Q1058
CME GROUP INC,CME,US12572Q1058
CMS ENERGY,CMS,US1258961002
CMS ENERGY CORP,CMS,US1258961002
COCA COLA,KO,US1912161007
COGNIZANT TECH.SLTN.'A',CTSH,US1924461023
COGNIZANT TECHNOLOGY,CTSH,US1924461023
COINBASE GLOBAL A,COIN,US19260Q1076
COINBASE GLOBAL INC,COIN,US19260Q1076
COLGATE-PALM.,CL,US1941621039
COLGATE-PALMOLIVE CO,CL,US1941621039
COMCAST A,CMCSA,US20030N1019
CONAGRA BRANDS,CAG,US2058871029
CONAGRA BRANDS INC,CAG,US2058871029
CONOCOPHILLIPS,COP,US20825C1045
CONSOLIDATED EDISON,ED,US2091151041
CONSTELLATION BRANDS 'A',STZ,US21036P1084
CONSTELLATION ENERGY,CEG,US21037T1097
COOPER COS.,COO,US2166485019
COPART,CPRT,US2172041061
COPART INC,CPRT,US2172041061
CORNING,GLW,US2193501051
CORNING INCORPORATED,GLW,US2193501051
CORPAY,CPAY,US2199481068
CORPAY INC,CPAY,US2199481068
CORTEVA,CTVA,US22052L1044
CORTEVA INC,CTVA,US22052L1044
COSTAR GP.,CSGP,US22160N1090
COSTCO,COST,US22160K1051
COTERRA ENERGY,CTRA,US1270971039
COTERRA ENERGY INC,CTRA,US1270971039
CROWDSTRIKE HOLD,CRWD,US22788C1053
CROWDSTRIKE HOLDINGS A,CRWD,US22788C1053
CROWN CASTLE,CCI,US22822V1017
CSX,CSX,US1264081035
CSX CORP,CSX,US1264081035
CUMMINS,CMI,US2310211063
CUMMINS INC,CMI,US2310211063
CVS HEALTH,CVS,US1266501006
CVS HEALTH CORP,CVS,US1266501006
D R HORTON,DHI,US23331A1097
DANAHER,DHR,US2358511028
DARDEN RESTAURANTS,DRI,US2371941053
DATADOG A,DDOG,US23804L1035
DATADOG INC,DDOG,US23804L1035
DAVITA,DVA,US23918K1088
DAYFORCE,DAY,US15677J1088
DECKERS OUTDOOR,DECK,US2435371073
DEERE,DE,US2441991054
DEERE & CO,DE,US2441991054
DELL TECH,DELL,US24703L2025
DELL TECHNOLOGIES C,DELL,US24703L2025
DELTA AIR LINES,DAL,US2473617023
"DELTA AIR LINES, INC",DAL,US2473617023
DEVON ENERGY,DVN,US25179M1036
DEVON ENERGY CORP,DVN,US25179M1036
DEXCOM,DXCM,US2521311074
DEXCOM INC,DXCM,US2521311074
DIAMONDBACK,FANG,US25278X1090
DIAMONDBACK ENERGY,FANG,US25278X1090
DIGITAL REALTY,DLR,US2538681030
DIGITAL REALTY TST.,DLR,US2538681030
DISNEY,DIS,US2546871060
DOLLAR GENERAL CORP,DG,US2566771059
DOLLAR TREE INC,DLTR,US2567461080
"DOLLAR TREE, INC",DLTR,US2567461080
DOMINION ENERGY,D,US25746U1097
DOMINION ENERGY INC,D,US25746U1097
"DOMINO' S PIZZA, INC",DPZ,US25754A2015
DOMINOS PIZZA,DPZ,US25754A2015
DOORDASH A,DASH,US25809K1051
DOORDASH INC,DASH,US25809K1051
DOVER,DOV,US2600031080
DOVER CORP,DOV,US2600031080
DOW INC,DOW,US2605571031
DOW ORD SHS,DOW,US2605571031
