company_name,quarter,year,earnings_date,company_id,feature_name,value,isin_code
3M,1,2010,,902172,NET INC BEFORE EXTRA/PFD DIVS,4006000.0,US88579Y1010
3M,1,2011,,902172,NET INC BEFORE EXTRA/PFD DIVS,4877000.0,US88579Y1010
3M,1,2012,,902172,NET INC BEFORE EXTRA/PFD DIVS,4433000.0,US88579Y1010
3M,1,2013,,902172,NET INC BEFORE EXTRA/PFD DIVS,5312000.0,US88579Y1010
3M,1,2014,,902172,NET INC BEFORE EXTRA/PFD DIVS,5839000.0,US88579Y1010
3M,1,2015,,902172,NET INC BEFORE EXTRA/PFD DIVS,5125000.0,US88579Y1010
3M,1,2016,,902172,NET INC BEFORE EXTRA/PFD DIVS,5365000.0,US88579Y1010
3M,1,2017,,902172,NET INC BEFORE EXTRA/PFD DIVS,5315000.0,US88579Y1010
3M,1,2018,,902172,NET INC BEFORE EXTRA/PFD DIVS,6371000.0,US88579Y1010
3M,1,2019,,902172,NET INC BEFORE EXTRA/PFD DIVS,6712000.0,US88579Y1010
3M,1,2020,,902172,NET INC BEFORE EXTRA/PFD DIVS,3115000.0,US88579Y1010
3M,1,2021,,902172,NET INC BEFORE EXTRA/PFD DIVS,8004000.0,US88579Y1010
3M,1,2022,,902172,NET INC BEFORE EXTRA/PFD DIVS,7457000.0,US88579Y1010
3M,1,2023,,902172,NET INC BEFORE EXTRA/PFD DIVS,8310000.0,US88579Y1010
3M,1,2024,,902172,NET INC BEFORE EXTRA/PFD DIVS,10053000.0,US88579Y1010
3M,2,2010,,902172,NET INC BEFORE EXTRA/PFD DIVS,4006000.0,US88579Y1010
3M,2,2011,,902172,NET INC BEFORE EXTRA/PFD DIVS,4877000.0,US88579Y1010
3M,2,2012,,902172,NET INC BEFORE EXTRA/PFD DIVS,4433000.0,US88579Y1010
3M,2,2013,,902172,NET INC BEFORE EXTRA/PFD DIVS,5312000.0,US88579Y1010
3M,2,2014,,902172,NET INC BEFORE EXTRA/PFD DIVS,5839000.0,US88579Y1010
3M,2,2015,,902172,NET INC BEFORE EXTRA/PFD DIVS,5125000.0,US88579Y1010
3M,2,2016,,902172,NET INC BEFORE EXTRA/PFD DIVS,5365000.0,US88579Y1010
3M,2,2017,,902172,NET INC BEFORE EXTRA/PFD DIVS,5315000.0,US88579Y1010
3M,2,2018,,902172,NET INC BEFORE EXTRA/PFD DIVS,6371000.0,US88579Y1010
3M,2,2019,,902172,NET INC BEFORE EXTRA/PFD DIVS,6712000.0,US88579Y1010
3M,2,2020,,902172,NET INC BEFORE EXTRA/PFD DIVS,3115000.0,US88579Y1010
3M,2,2021,,902172,NET INC BEFORE EXTRA/PFD DIVS,8004000.0,US88579Y1010
3M,2,2022,,902172,NET INC BEFORE EXTRA/PFD DIVS,7457000.0,US88579Y1010
3M,2,2023,,902172,NET INC BEFORE EXTRA/PFD DIVS,8310000.0,US88579Y1010
3M,2,2024,,902172,NET INC BEFORE EXTRA/PFD DIVS,10053000.0,US88579Y1010
3M,3,2010,,902172,NET INC BEFORE EXTRA/PFD DIVS,4006000.0,US88579Y1010
3M,3,2011,,902172,NET INC BEFORE EXTRA/PFD DIVS,4877000.0,US88579Y1010
3M,3,2012,,902172,NET INC BEFORE EXTRA/PFD DIVS,4433000.0,US88579Y1010
3M,3,2013,,902172,NET INC BEFORE EXTRA/PFD DIVS,5312000.0,US88579Y1010
3M,3,2014,,902172,NET INC BEFORE EXTRA/PFD DIVS,5839000.0,US88579Y1010
3M,3,2015,,902172,NET INC BEFORE EXTRA/PFD DIVS,5125000.0,US88579Y1010
3M,3,2016,,902172,NET INC BEFORE EXTRA/PFD DIVS,5365000.0,US88579Y1010
3M,3,2017,,902172,NET INC BEFORE EXTRA/PFD DIVS,5315000.0,US88579Y1010
3M,3,2018,,902172,NET INC BEFORE EXTRA/PFD DIVS,6371000.0,US88579Y1010
3M,3,2019,,902172,NET INC BEFORE EXTRA/PFD DIVS,6712000.0,US88579Y1010
3M,3,2020,,902172,NET INC BEFORE EXTRA/PFD DIVS,3115000.0,US88579Y1010
3M,3,2021,,902172,NET INC BEFORE EXTRA/PFD DIVS,8004000.0,US88579Y1010
3M,3,2022,,902172,NET INC BEFORE EXTRA/PFD DIVS,7457000.0,US88579Y1010
3M,3,2023,,902172,NET INC BEFORE EXTRA/PFD DIVS,8310000.0,US88579Y1010
3M,3,2024,,902172,NET INC BEFORE EXTRA/PFD DIVS,10053000.0,US88579Y1010
3M,4,2010,,902172,NET INC BEFORE EXTRA/PFD DIVS,4006000.0,US88579Y1010
3M,4,2011,,902172,NET INC BEFORE EXTRA/PFD DIVS,4877000.0,US88579Y1010
3M,4,2012,,902172,NET INC BEFORE EXTRA/PFD DIVS,4433000.0,US88579Y1010
3M,4,2013,,902172,NET INC BEFORE EXTRA/PFD DIVS,5312000.0,US88579Y1010
