model_name,category,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
ridge,Linear,0.03901356830424731,0.05333863093257455,0.013437061816401585,0.04501637384166044,0.06108926020370176,0.0008269511497221993
linear_ols,Linear,0.039013467688888734,0.05333862633260654,0.013437231980415243,0.04501705677816606,0.061091881087125335,0.000741215220132041
lasso,Linear,0.039017943682479614,0.053466736856988745,0.008692420760767261,0.04505414347063457,0.06095582178406121,0.005187208800053855
baseline_mean,Baseline,0.039102982204927514,0.053700640545088205,0.0,0.045186975595033076,0.061135127231098645,-0.0006740099734079408
random_forest,Tree,0.03744250063698029,0.05096186962960112,0.09940035182901097,0.04522398466290353,0.06104324229471712,0.0023317176567589915
gradient_boosting,Tree,0.03641020112917839,0.04837501267283635,0.18850985207471083,0.045395457091121943,0.06122798473887997,-0.0037161452092759895
xgb_baseline,Boosting,0.03620184779917753,0.04874459225458846,0.17606310270308212,0.045683842217388027,0.0617444965309431,-0.02072202702340742
xgb_tuned,Boosting,0.03195212286469606,0.04257834765887075,0.37133587853024463,0.04587092363440199,0.06202652750021719,-0.030068048261036484
hist_gradient_boosting,Tree,0.031216915764944335,0.04156194912757256,0.4009916438551444,0.045920950006134366,0.061932179654575086,-0.026936781950959165
baseline_capm,Baseline,0.03891886164586701,0.053226260242405,0.01758954862983897,0.046507181470783684,0.06273559432557824,-0.05375345780168961
