feature,tree_rank,perm_rank,shap_rank,avg_rank,rank_std
stock_momentum_3m,0,0,2,0.6666666666666666,1.1547005383792517
f_cashflow_proxy_ffo_capex,2,2,1,1.6666666666666667,0.5773502691896257
stock_momentum_6m,3,1,5,3.0,2.0
spy_pre_return_30d,4,7,0,3.6666666666666665,3.511884584284246
stock_momentum_1m,6,3,8,5.666666666666667,2.516611478423583
f_cash_to_assets_ratio,7,4,7,6.0,1.7320508075688772
pre_volatility_30d,1,13,6,6.666666666666667,6.027713773341708
f_eps_surprise_value,8,6,9,7.666666666666667,1.5275252316519465
pre_avg_volume_30d,5,16,4,8.333333333333334,6.658328118479393
f_asset_turnover,9,19,3,10.333333333333334,8.082903768654761
f_revenue_growth_yoy,10,8,14,10.666666666666666,3.055050463303893
f_roe,12,10,10,10.666666666666666,1.1547005383792517
f_leverage,15,5,13,11.0,5.291502622129181
f_roa,11,12,12,11.666666666666666,0.5773502691896257
f_eps_surprise_pct,13,20,11,14.666666666666666,4.725815626252608
f_net_income_change_yoy,18,11,15,14.666666666666666,3.511884584284246
f_equity_ratio,14,14,18,15.333333333333334,2.3094010767585034
f_net_margin,17,15,16,16.0,1.0
f_net_income_change_qoq,20,9,19,16.0,6.082762530298219
f_operating_margin,16,18,17,17.0,1.0
f_revenue_growth_qoq,19,17,20,18.666666666666668,1.5275252316519465
