feature,coefficient,abs_coefficient,std_coefficient,abs_std_coefficient,direction
f_leverage,0.013330275997682795,0.013330275997682795,0.011643329210475785,0.011643329210475785,Positive
f_equity_ratio,0.013194129628619253,0.013194129628619253,0.011523922093074759,0.011523922093074759,Positive
f_net_income_change_qoq,0.0032449715375283896,0.0032449715375283896,0.0027017904887333055,0.0027017904887333055,Positive
f_revenue_growth_qoq,0.0031450288283072303,0.0031450288283072303,0.0024783704234550294,0.0024783704234550294,Positive
f_cash_to_assets_ratio,0.0027837129418894846,0.0027837129418894846,0.0023415767634975292,0.0023415767634975292,Positive
spy_pre_return_30d,-0.002192556427093845,0.002192556427093845,-0.0021914391911476154,0.0021914391911476154,Negative
f_asset_turnover,0.00264166234374628,0.00264166234374628,0.0021326606632144102,0.0021326606632144102,Positive
f_operating_margin,0.0020652730731276735,0.0020652730731276735,0.001642983634752138,0.001642983634752138,Positive
f_net_income_change_yoy,-0.0017008304891243577,0.0017008304891243577,-0.0013450229360848296,0.0013450229360848296,Negative
stock_momentum_3m,0.0012431151265489533,0.0012431151265489533,0.0012424812729265678,0.0012424812729265678,Positive
f_net_margin,-0.0012819608509233292,0.0012819608509233292,-0.0010199173089086367,0.0010199173089086367,Negative
f_cashflow_proxy_ffo_capex,-0.0010216163471694518,0.0010216163471694518,-0.0009703598137756559,0.0009703598137756559,Negative
stock_momentum_6m,0.0005030982152196724,0.0005030982152196724,0.0005028422271897643,0.0005028422271897643,Positive
f_eps_surprise_value,-0.0006405670218301472,0.0006405670218301472,-0.00048746890759166693,0.00048746890759166693,Negative
stock_momentum_1m,0.00039657280229044847,0.00039657280229044847,0.00039637060185454716,0.00039637060185454716,Positive
pre_volatility_30d,0.00035263499893697806,0.00035263499893697806,0.00035246494781115766,0.00035246494781115766,Positive
f_roa,0.00026866252048046236,0.00026866252048046236,0.00022777124077244808,0.00022777124077244808,Positive
pre_avg_volume_30d,-0.00021327372061792443,0.00021327372061792443,-0.0002131678920447133,0.0002131678920447133,Negative
f_roe,9.100531905344522e-05,9.100531905344522e-05,7.702628522430639e-05,7.702628522430639e-05,Positive
f_revenue_growth_yoy,-2.0686195124584565e-05,2.0686195124584565e-05,-1.5427297750025742e-05,1.5427297750025742e-05,Negative
f_eps_surprise_pct,6.644874269945076e-07,6.644874269945076e-07,5.017613847924828e-07,5.017613847924828e-07,Positive
